iter	Logloss
0	0.6928700569
1	0.6927083962
2	0.6925168071
3	0.6922243096
4	0.6919793678
5	0.6917372067
6	0.6916204622
7	0.6915227588
8	0.6913314053
9	0.6912411487
10	0.691110312
11	0.6909186286
12	0.69084237
13	0.6907383981
14	0.6905930449
15	0.6904493413
16	0.6902776416
17	0.6901767804
18	0.6900895874
19	0.6900193144
20	0.689976095
21	0.6899128446
22	0.6898275368
23	0.6896794971
24	0.6896378801
25	0.6895568141
26	0.689554269
27	0.6894711292
28	0.6894280511
29	0.6893499072
30	0.6892480092
31	0.6891595907
32	0.689114863
33	0.6890672131
34	0.6890147088
35	0.6889594708
36	0.6889404768
37	0.6888620973
38	0.6888202918
39	0.6887434205
40	0.688667916
41	0.688609473
42	0.6885365136
43	0.6884950851
44	0.6883814042
45	0.6883090104
46	0.688285539
47	0.688255422
48	0.6882031061
49	0.688085749
50	0.6880432365
51	0.6879639615
52	0.6879443077
53	0.687883084
54	0.6878554178
55	0.6878478297
56	0.6878400059
57	0.6877718539
58	0.6877088863
59	0.6876387548
60	0.6876311195
61	0.6876298941
62	0.6876252752
63	0.6875745147
64	0.6875558036
65	0.6875298342
66	0.6874679507
67	0.6874618707
68	0.6874270406
69	0.6874216676
70	0.6873989503
71	0.6873722739
72	0.6873393762
73	0.6873306569
74	0.6873020481
75	0.6872855522
76	0.6872696217
77	0.6872586873
78	0.6872373367
79	0.6871999144
80	0.6872004329
81	0.6871877545
82	0.6871784696
83	0.6871586273
84	0.6871432153
85	0.6871050389
86	0.6871026352
87	0.6870692191
88	0.6870444279
89	0.6870076655
90	0.6870050732
91	0.6869882473
92	0.6869739665
93	0.6869522389
94	0.6869358372
95	0.6869255154
96	0.6869089723
97	0.6868681565
98	0.6868403019
99	0.6868026439
100	0.6867719142
101	0.6867629121
102	0.6867444366
103	0.6867415616
104	0.6867395821
105	0.686715875
106	0.6866955614
107	0.6866776043
108	0.6866357516
109	0.6866187372
110	0.6865874891
111	0.6865735853
112	0.68655445
113	0.6865263596
114	0.6865248514
115	0.6864963841
116	0.6864663614
117	0.686438978
118	0.6864330395
119	0.6864304001
120	0.6864233304
121	0.6863891602
122	0.6863585719
123	0.6863456579
124	0.6863268996
125	0.6863086126
126	0.6862796739
127	0.6862648275
128	0.6862633665
129	0.6862566738
130	0.6862372085
131	0.6862347106
132	0.686228065
133	0.6862268868
134	0.6862068559
135	0.6862057719
136	0.6861876263
137	0.6861881919
138	0.686187155
139	0.686178907
140	0.6861715545
141	0.6861700934
142	0.6861529376
143	0.6861536446
144	0.6861304559
145	0.686111839
146	0.686111839
147	0.6860966627
148	0.686092091
149	0.6860788471
150	0.686069845
151	0.6860575908
152	0.6860403878
153	0.6860335538
154	0.6860288406
155	0.6860274738
156	0.6860219595
157	0.6860229964
158	0.6860181889
159	0.6860111664
160	0.685996697
161	0.6859823691
162	0.685980908
163	0.6859808609
164	0.6859749695
165	0.6859753936
166	0.6859745453
167	0.6859686067
168	0.6859587091
169	0.6859216167
170	0.6859189302
171	0.6858908399
172	0.6858841473
173	0.6858796226
174	0.6858805653
175	0.6858681697
176	0.6858518151
177	0.6858483274
178	0.6858421532
179	0.6858343765
180	0.6858245732
181	0.6858224994
182	0.6858197658
183	0.6858162781
184	0.6858096797
185	0.6858081243
186	0.6857889418
187	0.6857747082
188	0.6857647163
189	0.6857553843
190	0.685749917
191	0.6857371916
192	0.6857278124
193	0.6857228636
194	0.6857011832
195	0.6856776175
196	0.6856723388
197	0.6856650805
198	0.6856626768
199	0.6856562198
200	0.6856583879
201	0.6856441542
202	0.6856414206
203	0.6856366603
204	0.6856353878
205	0.6856324656
206	0.6856154983
207	0.6856099368
208	0.6856059778
209	0.6856064962
210	0.6855968343
211	0.6855950433
212	0.6855841559
213	0.6855823649
214	0.6855779346
215	0.6855786416
216	0.6855718546
217	0.6855626169
218	0.685561957
219	0.6855500799
220	0.6855501271
221	0.6855501271
222	0.6855447541
223	0.6855296249
224	0.6855195388
225	0.6855187376
226	0.6855137888
227	0.6855128461
228	0.6855126576
229	0.6855028543
230	0.68549093
231	0.6854822579
232	0.6854746697
233	0.6854669402
234	0.6854637352
235	0.6854552516
236	0.6854536491
237	0.6854524237
238	0.6854531778
239	0.6854461081
240	0.6854426204
241	0.6854312146
242	0.6854315445
243	0.6854217411
244	0.6854122677
245	0.6854088271
246	0.6854055279
247	0.6854065177
248	0.6854008148
249	0.6853939808
250	0.6853887963
251	0.6853818209
252	0.6853796057
253	0.6853734786
254	0.6853680585
255	0.685365749
256	0.6853615544
257	0.6853602347
258	0.6853530707
259	0.6853484518
260	0.6853450584
261	0.685340628
262	0.6853403924
263	0.6853385542
264	0.6853263001
265	0.6853228123
266	0.6853200316
267	0.6853132918
268	0.6853073533
269	0.6852969372
270	0.6852942036
271	0.6852907159
272	0.6852802056
273	0.6852739842
274	0.685272099
275	0.6852676686
276	0.6852598919
277	0.6852428775
278	0.6852362791
279	0.6852312832
280	0.6852315188
281	0.6852203487
282	0.6852163897
283	0.6852143159
284	0.6852076232
285	0.6852046539
286	0.6851964059
287	0.6851884879
288	0.6851778362
289	0.6851707665
290	0.6851681271
291	0.6851638853
292	0.6851599734
293	0.6851628955
294	0.6851591721
295	0.6851500287
296	0.685145834
297	0.6851446557
298	0.685143713
299	0.685139377
300	0.6851340982
301	0.6851305163
302	0.6851291023
303	0.6851198646
304	0.6851170367
305	0.6851111924
306	0.6851035571
307	0.6850949792
308	0.6850914915
309	0.6850897476
310	0.6850838562
311	0.6850747598
312	0.6850710364
313	0.6850699053
314	0.6850667946
315	0.6850637782
316	0.6850595835
317	0.6850598192
318	0.6850586409
319	0.6850543519
320	0.6850495917
321	0.685047188
322	0.685042192
323	0.6850395527
324	0.6850378559
325	0.6850341797
326	0.6850307862
327	0.685030362
328	0.6850261674
329	0.6850247534
330	0.6850184849
331	0.6850156099
332	0.685014196
333	0.6850118394
334	0.6850061836
335	0.6850038271
336	0.6850028844
337	0.6850000094
338	0.6849966631
339	0.6849947778
340	0.6849910073
341	0.684988368
342	0.6849855872
343	0.684981911
344	0.6849802614
345	0.684977245
346	0.6849752654
347	0.6849750769
348	0.6849697039
349	0.68496829
350	0.6849656978
351	0.6849648023
352	0.6849631055
353	0.6849621629
354	0.6849597121
355	0.6849605604
356	0.6849592879
357	0.6849568842
358	0.6849558473
359	0.6849533493
360	0.6849531137
361	0.6849519825
362	0.6849509456
363	0.6849508043
364	0.6849511342
365	0.6849467038
366	0.6849476936
367	0.6849434989
368	0.6849437817
369	0.6849432161
370	0.6849399169
371	0.6849396341
372	0.6849369005
373	0.6849379374
374	0.6849356751
375	0.6849340726
376	0.6849327529
377	0.684931339
378	0.6849304435
379	0.6849303021
380	0.6849286525
381	0.6849257303
382	0.6849245521
383	0.684923091
384	0.6849216299
385	0.6849213471
386	0.6849209701
387	0.6849192733
388	0.6849198861
389	0.6849173881
390	0.684916634
391	0.6849157385
392	0.68491555
393	0.6849142774
394	0.6849129577
395	0.6849113553
396	0.6849121094
397	0.6849112139
398	0.6849097528
399	0.6849072077
400	0.6849070192
401	0.6849068307
402	0.6849050397
403	0.6849040028
404	0.6849009392
405	0.6849032958
406	0.6848996196
407	0.6849007507
408	0.6849016933
409	0.6848983941
410	0.6848965089
411	0.6848970273
412	0.6848970745
413	0.684895849
414	0.6848947179
415	0.6848949535
416	0.6848950949
