iter	Passed	Remaining
0	1	1719
1	3	1768
2	4	1606
3	7	1693
4	9	1863
5	11	1802
6	12	1750
7	15	1821
8	17	1833
9	18	1758
10	19	1736
11	22	1754
12	23	1713
13	25	1725
14	27	1731
15	29	1740
16	31	1744
17	32	1739
18	34	1740
19	36	1724
20	38	1721
21	39	1692
22	42	1749
23	44	1753
24	45	1734
25	47	1729
26	48	1694
27	50	1703
28	52	1689
29	53	1680
30	55	1680
31	57	1682
32	58	1657
33	59	1639
34	62	1660
35	64	1663
36	65	1642
37	66	1625
38	67	1620
39	70	1627
40	72	1629
41	74	1634
42	76	1641
43	78	1647
44	80	1653
45	82	1658
46	84	1655
47	86	1656
48	88	1667
49	90	1669
50	93	1676
51	95	1682
52	96	1671
53	98	1672
54	100	1672
55	101	1659
56	102	1644
57	104	1646
58	106	1644
59	108	1650
60	110	1637
61	111	1625
62	112	1612
63	114	1612
64	116	1614
65	117	1613
66	119	1612
67	122	1616
68	124	1618
69	125	1612
70	127	1616
71	129	1607
72	130	1606
73	131	1595
74	133	1595
75	135	1589
76	136	1583
77	138	1585
78	140	1587
79	142	1588
80	143	1577
81	145	1577
82	147	1571
83	148	1567
84	150	1568
85	152	1563
86	153	1556
87	155	1559
88	159	1576
89	160	1570
90	161	1561
91	163	1557
92	165	1558
93	167	1558
94	169	1554
95	171	1556
96	173	1557
97	175	1557
98	177	1557
99	178	1551
100	180	1550
101	181	1542
102	183	1543
103	184	1535
104	185	1528
105	187	1528
106	189	1528
107	191	1528
108	193	1529
109	195	1529
110	197	1529
111	199	1522
112	200	1522
113	202	1519
114	203	1512
115	205	1513
116	207	1512
117	209	1511
118	210	1505
119	211	1497
120	213	1497
121	215	1496
122	217	1496
123	219	1498
124	221	1498
125	224	1498
126	225	1498
127	228	1498
128	229	1491
129	231	1491
130	233	1492
131	234	1486
132	235	1481
133	236	1474
134	238	1474
135	239	1468
136	241	1467
137	242	1460
138	243	1454
139	244	1447
140	246	1447
141	247	1443
142	250	1445
143	251	1439
144	253	1440
145	255	1439
146	256	1433
147	258	1433
148	259	1429
149	261	1429
150	263	1426
151	265	1426
152	267	1428
153	269	1426
154	271	1423
155	272	1419
156	274	1417
157	275	1413
158	276	1409
159	278	1408
160	280	1407
161	282	1408
162	283	1403
163	285	1399
164	287	1399
165	288	1393
166	289	1389
167	291	1390
168	292	1386
169	294	1385
170	296	1382
171	298	1383
172	300	1383
173	301	1379
174	302	1374
175	304	1371
176	305	1366
177	307	1364
178	309	1364
179	310	1361
180	312	1361
181	313	1357
182	315	1353
183	316	1352
184	318	1351
185	320	1347
186	321	1346
187	323	1344
188	324	1340
189	326	1339
190	328	1338
191	348	1411
192	350	1410
193	352	1407
194	354	1406
195	356	1404
196	357	1402
197	359	1400
198	361	1400
199	363	1396
200	364	1392
201	366	1390
202	367	1387
203	369	1386
204	370	1382
205	372	1378
206	374	1376
207	375	1375
208	377	1373
209	378	1369
210	380	1368
211	382	1365
212	384	1364
213	385	1361
214	387	1358
